Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Entering a junction,Unknown or other,Driving to the left,Slight Injury,16
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Driving at high speed,Slight Injury,16
Monday,Over 51,Male,High school,Employee,Above 10yr,Other,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Entering a junction,Not a Pedestrian,Unknown,Slight Injury,16
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Entering a junction,Not a Pedestrian,Changing lane to the right,Slight Injury,18
Sunday,Over 51,Male,Elementary school,Employee,1-2yr,Other,Governmental,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Entering a junction,Not a Pedestrian,No distancing,Slight Injury,18
Sunday,31-50,Male,Junior high school,Employee,Unknown,Other,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Entering a junction,Not a Pedestrian,Other,Slight Injury,18
Sunday,31-50,Male,Above high school,Employee,1-2yr,Ridden horse,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,Entering a junction,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Changing lane to the left,Slight Injury,18
Thursday,Unknown,Female,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,15
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,Unknown,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,15
Friday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,7, Outside rural areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Driving carelessly,Slight Injury,15
Friday,Over 51,Male,Unknown,Unknown,Unknown,Automobile,Owner,Above 10yr,Unknown,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,15
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,5, Church areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury,7
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,7
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,17
Monday,31-50,Male,Junior high school,Employee,1-2yr,Other,Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Monday,Over 51,Male,Above high school,Owner,1-2yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,Changing lane to the right,Slight Injury,9
Monday,Over 51,Male,Above high school,Employee,No Licence,Public (13?45 seats),Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Changing lane to the left,Slight Injury,9
Monday,Unknown,Female,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Overtaking,Not a Pedestrian,Overturning,Slight Injury,9
Friday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,10
Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,Unknown,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,8
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,13
Thursday,Under 18,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,13
Wednesday,18-30,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,2-5yrs,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Fatal injury,21
Wednesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,16
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Organization,2-5yrs,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Collision with roadside objects,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,16
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,17
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Unknown,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,17
Saturday,31-50,Male,Unknown,Unknown,Unknown,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,Other,Not a Pedestrian,No distancing,Slight Injury,22
Monday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,No defect, Industrial areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,7
Monday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,1-2yr,No defect, Industrial areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,7
Sunday,31-50,Male,Above high school,Employee,2-5yr,Special vehicle,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Changing lane to the right,Slight Injury,20
Sunday,Unknown,Female,Unknown,Unknown,Unknown,Lorry (41?100Q),Organization,Above 10yr,Unknown, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,20
Saturday,Over 51,Male,Unknown,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,20
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with roadside objects,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18
Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Organization,5-10yrs,No defect, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,16
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Serious Injury,18
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,O Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,18
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,1-2yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Collision with roadside objects,1,Going straight,Crossing from driver's nearside,Changing lane to the right,Slight Injury,15
Wednesday,Under 18,Male,High school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,18
Wednesday,18-30,Male,Above high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,18
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Other,Not a Pedestrian,Overturning,Slight Injury,20
Tuesday,31-50,Male,Unknown,Unknown,Unknown,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,1,Reversing,Not a Pedestrian,Driving at high speed,Slight Injury,20
Monday,31-50,Male,High school,Employee,Below 1yr,Special vehicle,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Monday,18-30,Male,High school,Employee,Below 1yr,Lorry (11?40Q),Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,No priority to pedestrian,Slight Injury,17
Wednesday,18-30,Male,Unknown,Unknown,Unknown,Unknown,Owner,5-10yrs,Unknown,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,Reversing,Not a Pedestrian,No priority to vehicle,Serious Injury,20
Friday,31-50,Male,High school,Employee,2-5yr,Unknown,Unknown,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Slight Injury,22
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Slight Injury,22
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,22
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,15
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,1-2yr,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Turnover,Not a Pedestrian,Moving Backward,Slight Injury,17
Wednesday,18-30,Male,Unknown,Employee,Below 1yr,Other,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,6
Saturday,Over 51,Male,High school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No distancing,Slight Injury,6
Saturday,Over 51,Male,Junior high school,Owner,1-2yr,Lorry (41?100Q),Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Other,Slight Injury,6
Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Unknown,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,11
Thursday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,5-10yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,No distancing,Serious Injury,11
Wednesday,18-30,Male,Elementary school,Owner,5-10yr,Unknown,Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,17
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Crossing from driver's nearside,No distancing,Slight Injury,17
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Unknown,Unknown,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,Turnover,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Friday,31-50,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Monday,18-30,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,10
Monday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,10
Monday,31-50,Male,Junior high school,Unknown,1-2yr,Lorry (41?100Q),Governmental,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,10
Monday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Turnover,Slight Injury,10
Friday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,1,Going straight,Not a Pedestrian,Driving to the left,Serious Injury,18
Saturday,18-30,Male,Unknown,Unknown,Unknown,Stationwagen,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Raining,Rollover,2,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,17
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,17
Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,Unknown, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Rollover,1,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,17
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,17
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,19
Monday,31-50,Male,Junior high school,Owner,Above 10yr,Unknown,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Fall from vehicles,1,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,21
Thursday,31-50,Male,Elementary school,Other,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Unknown,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,Other,Not a Pedestrian,Driving carelessly,Serious Injury,21
Monday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Governmental,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Unknown,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Other,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Monday,Over 51,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Below 1yr,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",Driving carelessly,Slight Injury,13
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Unknown,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury,4
Friday,31-50,Male,Elementary school,Employee,Above 10yr,Stationwagen,Owner,Unknown,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,13
Friday,Over 51,Male,Junior high school,Unknown,Below 1yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Other,Not a Pedestrian,Changing lane to the right,Serious Injury,17
Sunday,Over 51,Male,Elementary school,Employee,1-2yr,Other,Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,12
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Getting off,Not a Pedestrian,Overtaking,Slight Injury,12
Tuesday,18-30,Male,Elementary school,Owner,2-5yr,Other,Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,13
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,Unknown,Other,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,13
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Ridden horse,Owner,Unknown,Unknown, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Other,Slight Injury,12
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Unknown, Industrial areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,12
